Asset Id,Address,Polygon,Zone,Section,Mode of operation,Controller Type,State/County,systemControl,constructionStatus,municipality,Latitude,Longitude,Ramp_Indicator
5565,S Dade Bswy & SW 184 St,63,9,12,SCOOT,2070 LX,County,Centracs,Existing,Palmetto Bay,25.598608,-80.355446,0
5566,Quail Roost Dr & S Dade Bswy,63,9,12,SCOOT,2070 LX,State,Centracs,Existing,Palmetto Bay,25.59612,-80.35679,0
5567,Marlin Rd & S Dade Bswy,63,9,12,SCOOT,2070 LX,County,Centracs,Existing,Cutler Bay,25.589836,-80.36067,0
5941,Coral Reef Dr & SW 93 Av,63,9,12,SCOOT,D170,County,ATMS,Existing,Palmetto Bay,25.628853,-80.343765,0
2736,MacArthur Cswy & Terminal Isle,3,3,13,SCOOT,D170E,State,ATMS,Existing,Miami Beach,25.771881,-80.1495,1
2737,MacArthur Cswy & Palm Isle & Hibiscus Isle,3,3,13,SCOOT,D170,State,ATMS,Reconstruction,Miami Beach,25.777414,-80.16368,1
2738,MacArthur Cswy & Star Isle,3,3,13,SCOOT,D170,State,ATMS,Existing,Miami Beach,25.772345,-80.151886,1
3311,Kendall Dr / SW 79 Av / SW 82 Av,78,8,15,Traffic Responsive,D170E,State,ATMS,Existing,Unincorporated Miami-Dade,25.688345,-80.32419,0
3322,Kendall Dr @ SW 7200 Blk,78,8,15,Traffic Responsive,2070 LX,State,Centracs,Existing,Unincorporated Miami-Dade,25.688782,-80.31137,0
3668,Kendall Dr & SR-826 NB,78,8,15,Traffic Responsive,2070 LX,State,Centracs,Existing,Unincorporated Miami-Dade,25.688555,-80.31639,1
3774,Kendall Dr & SW 79 Av-N Leg,78,8,15,Traffic Responsive,2070 LX,State,Centracs,Existing,Unincorporated Miami-Dade,25.688438,-80.32137,0
3972,Kendall Dr & SW 77 Av,78,8,15,Traffic Responsive,2070 LX,State,Centracs,Existing,Unincorporated Miami-Dade,25.688454,-80.3194,1
3997,Dadeland Blvd & Kendall Dr,78,8,15,Traffic Responsive,2070 LX,State,Centracs,Existing,Unincorporated Miami-Dade,25.688694,-80.31351,0
