,Asset Id,Address,Latitude,Longitude,proposed_MoO
1262,4215,NE 16 Av / NE 140 St / NE 141 St,25.90523,-80.16704,NO SCOOT
1263,4769,NE 12 Av & NE 149 St,25.912523,-80.17542,NO SCOOT
1264,2430,N Miami Av / N 120 St / N 121 St,25.885632,-80.19848,NO SCOOT
1265,2515,W Dixie Hwy & NE 2 Av,25.883118,-80.19418,NO SCOOT
1266,2516,N Miami Av & N 119 St,25.88429,-80.19837,SCOOT
1267,2535,Griffing Blvd & W Dixie Hwy,25.886953,-80.190575,NO SCOOT
1268,3375,Palm Av & 29 St,25.848324,-80.28235,NO SCOOT
1269,4402,W 2 Av & W 49 St,25.866785,-80.28681,SCOOT
1270,2098,Federal Hwy & NE 36 St & NE 2 Av,25.8106,-80.19082,SCOOT
1271,5393,W 2 Av & W 29 St,25.848173,-80.2863,NO SCOOT
1272,3937,SW 112 Av & SW 216 St,25.566431,-80.372215,SCOOT
1273,2099,US - 1 & NE 38 St,25.812443,-80.18926,NO SCOOT
1274,4128,SW 211 St @ SW 10800 Blk,25.572157,-80.36559,SCOOT
1275,3397,Douglas Rd & NW 14 St,25.78641,-80.25589,SCOOT
1276,4496,SR-821 SB & SW 211 St,25.57279,-80.36396,NO SCOOT
1277,5677,Palm Av & 39 St,25.85767,-80.2827,NO SCOOT
1278,2102,NE 2 Av & NE 39 St,25.812788,-80.19136,SCOOT
1279,6458,SW 112 Av & SW 224 St,25.559052,-80.37214,SCOOT
1280,3298,Federal Hwy & NE 38 St & NE 39 St,25.812824,-80.190315,NO SCOOT
1281,6905,E 32 St @ E 100 Blk,25.851267,-80.28035,NO SCOOT
1282,3797,Douglas Rd & NW 21 St,25.79504,-80.256134,SCOOT
1283,4497,SW 112 Av @ SW 20900 Blk,25.57345,-80.37236,SCOOT
1284,6469,SR- 821 SB & SW 216 St,25.566456,-80.36344,SCOOT
1285,2689,Collins Av & 63 St,25.844557,-80.12075,NO SCOOT
1286,3949,Douglas Rd & NW 17 St,25.790117,-80.25602,SCOOT
1287,5903,E 4 Av & E 17 St,25.837433,-80.273865,NO SCOOT
1288,6793,SR-821 NB & SW 211 St,25.573069,-80.36305,NO SCOOT
1289,6895,SW 211 St @ SW 11300 Blk,25.571175,-80.37445,SCOOT
1290,3046,US - 1 & SW 288 St,25.499338,-80.44624,SCOOT
1291,6648,SW 137 Av & SW 143 St,25.634676,-80.41469,SCOOT
1292,3741,US - 1 & SW 268 St,25.517975,-80.428024,NO SCOOT
1293,4394,Old Dixie Hwy & SW 288 St,25.499332,-80.44795,SCOOT
1294,4493,SW 157 Av & SW 288 St,25.49936,-80.444954,NO SCOOT
1295,5106,US - 1 & SW 272 St,25.513418,-80.43251,NO SCOOT
1296,5261,US - 1 & SW 157 Av,25.500647,-80.44494,NO SCOOT
1297,5262,US - 1 & SW 280 St,25.50669,-80.43904,NO SCOOT
1298,5908,Old Dixie Hwy & SW 280 St,25.50668,-80.44081,NO SCOOT
1299,6093,US - 1 & SW 264 St,25.521662,-80.42457,NO SCOOT
1300,6144,Old Dixie Hwy & SW 146 Ct & S Dade Bswy,25.51919,-80.42828,NO SCOOT
1301,6373,Old Dixie Hwy & SW 157 Av & S Dade Bswy,25.502407,-80.44498,NO SCOOT
1302,6374,Old Dixie Hwy & SW 272 St & S Dade Bswy,25.514132,-80.43357,SCOOT
1303,6636,US - 1 & SW 260 St,25.525444,-80.4218,SCOOT
1304,6662,Old Dixie Hwy & SW 264 St,25.521671,-80.425575,NO SCOOT
1305,3798,SW 137 Av & SW 268 St,25.518093,-80.41252,NO SCOOT
1306,4177,SW 268 St / SW 139 Av / SW 142 Av,25.518026,-80.417625,NO SCOOT
1307,4330,SW 127 Av & SW 268 St,25.518183,-80.39622,NO SCOOT
1308,6671,SW 132 Av-N Leg & SW 268 St,25.518204,-80.405266,NO SCOOT
1309,6672,SW 132 Av-S Leg & SW 268 St,25.518158,-80.40433,NO SCOOT
1310,2991,SW 288 St / Illinois Rd / SW 149 Av,25.49947,-80.43349,NO SCOOT
1311,3532,SW 137 Av & SW 288 St,25.49958,-80.41233,SCOOT
1312,3606,SW 152 Av & SW 288 St,25.499447,-80.43695,NO SCOOT
1313,4357,SW 152 Av & SW 296 St,25.492123,-80.43668,NO SCOOT
1314,5150,SW 157 Av & SW 296 St,25.492035,-80.4449,NO SCOOT
1315,5409,SW 144 Av & SW 288 St,25.499529,-80.424706,NO SCOOT
1316,5459,SW 144 Av / SW 289 Ter / SW 291 St,25.497276,-80.42466,NO SCOOT
1317,5475,SR-821 SB & SW 288 St,25.499538,-80.41799,NO SCOOT
1318,5476,SR-821 NB Off & SW 288 St,25.499552,-80.41545,NO SCOOT
1319,5477,SR-821 SB Off & SW 137 Av,25.512999,-80.41252,NO SCOOT
1320,5668,SW 147 Av & SW 288 St,25.499506,-80.428856,NO SCOOT
1321,6878,SW 137 Av & SW 284 St,25.503374,-80.41238,SCOOT
1322,6921,SW 137 Av @ SW 28900 Blk,25.498365,-80.412315,SCOOT
1323,3027,Krome Av & SW 328 St,25.462486,-80.47729,NO SCOOT
1324,6152,S Dade Bswy & NE 2 Dr,25.471844,-80.47449,NO SCOOT
1325,2653,Byron Av & 85 St,25.869896,-80.123764,NO SCOOT
1326,2701,Dickens Av & 73 St,25.85826,-80.12526,NO SCOOT
1327,2702,Dickens Av & 75 St,25.860535,-80.12546,NO SCOOT
1328,2703,Dickens Av & 77 St,25.862059,-80.12551,NO SCOOT
1329,2718,Crespi Blvd & Hawthorne Av,25.863182,-80.12844,NO SCOOT
1330,2785,Byron Av & Tatum Wtrwy Dr & 81 St,25.865995,-80.12392,NO SCOOT
1331,2816,77 St / Tatum Wtrwy Dr / Dickens Av,25.862013,-80.12654,NO SCOOT
1332,3899,Hawthorne Av & 77 St,25.861849,-80.12842,NO SCOOT
1333,4143,Tatum Wtrwy Dr / 79 St / 80 St,25.864384,-80.125435,NO SCOOT
1334,6343,Byron Av & 73 St,25.858337,-80.12333,NO SCOOT
1335,6916,Dickens Av & 72 St,25.857025,-80.1251,NO SCOOT
1336,2786,Island Av E & Venetian Way,25.791471,-80.14744,NO SCOOT
1337,2788,Rivo Alto Dr E & Venetian Way,25.791128,-80.15461,NO SCOOT
1338,2789,Dilido Dr E & Venetian Way,25.790943,-80.158554,NO SCOOT
1339,2790,San Marino Dr E & Venetian Way,25.790756,-80.162506,NO SCOOT
1340,3478,Island Av W & Venetian Way,25.791384,-80.14926,NO SCOOT
1341,2704,Drexel Av & 14 St,25.785387,-80.13296,NO SCOOT
1342,2706,Drexel Av & 15 St,25.787548,-80.133026,NO SCOOT
1343,2710,Euclid Av & 15 St,25.787481,-80.13533,NO SCOOT
1344,2744,Meridian Av & 14 Pl,25.786123,-80.136406,NO SCOOT
1345,2745,Meridian Av & 15 St,25.787458,-80.13646,NO SCOOT
1346,2768,Pennsylvania Av & 14 St,25.785362,-80.134155,NO SCOOT
1347,5546,Pennsylvania Av / Espanola Way / 14 Pl,25.786436,-80.13418,NO SCOOT
1348,2707,Drexel Av & 16 St,25.789114,-80.13307,NO SCOOT
1349,2708,Drexel Av & Lincoln Rd,25.790655,-80.13312,NO SCOOT
1350,2731,Jefferson Av & 16 St,25.788998,-80.1376,NO SCOOT
1351,2732,Jefferson Av & Lincoln Rd,25.79052,-80.13768,NO SCOOT
1352,2735,Lenox Av & Lincoln Rd,25.790472,-80.13999,NO SCOOT
1353,2746,Meridian Av & 16 St,25.789015,-80.136505,NO SCOOT
1354,2747,Lincoln Rd & Meridian Av,25.790554,-80.13655,NO SCOOT
1355,2748,Meridian Av & 17 St,25.792166,-80.136604,SCOOT
1356,2753,Michigan Av & 16 St,25.788967,-80.13874,NO SCOOT
1357,2754,Lincoln Rd & Michigan Av,25.790495,-80.138794,NO SCOOT
1358,2769,Lincoln Rd & Pennsylvania Av,25.790625,-80.13429,NO SCOOT
1359,3395,17 St / Meridian Av / Meridian Ct,25.792189,-80.13578,SCOOT
1360,4275,Convention Center Dr & 17 St,25.79219,-80.13487,SCOOT
1361,6008,Michigan Av & 17 St,25.792109,-80.13885,SCOOT
1362,4342,Sunset Dr & SW 137 Av,25.699951,-80.414505,SCOOT
1363,4358,Sunset Dr & Sw 132 Av,25.700195,-80.4065,SCOOT
1364,4611,Sunset Dr & SW 142 Av,25.699715,-80.42252,SCOOT
1365,4658,Sunset Dr & SW 127 Av,25.700455,-80.398476,SCOOT
1366,4982,Sunset Dr & SW 152 Av,25.699146,-80.43856,SCOOT
1367,5173,Sunset Dr / SW 123 Av / SW 125 Av,25.70061,-80.394226,NO SCOOT
1368,5178,Sunset Dr & SW 147 Av,25.699444,-80.43049,SCOOT
1369,6362,Sunset Dr & SW 157 Av,25.69888,-80.446556,SCOOT
1370,6486,Sunset Dr & SW 162 Av,25.698597,-80.45454,SCOOT
1371,4595,Miller Dr & SW 137 Av,25.714388,-80.4151,SCOOT
1372,4610,Miller Dr & SW 132 Av,25.714766,-80.4071,SCOOT
1373,4703,Miller Dr & SW 127 Av,25.714935,-80.39907,SCOOT
1374,2571,N Miami Av & N 115 St,25.880604,-80.198235,NO SCOOT
1375,6513,SR- 821 NB & SW 216 St,25.56646,-80.36249,SCOOT
1376,3245,W Dixie Hwy & NE 118 Ter & NE 119 St,25.884388,-80.19301,NO SCOOT
1377,4175,Douglas Rd & NW 11 St,25.78265,-80.25579,SCOOT
1378,6382,Douglas Rd & NW 25 St,25.79898,-80.2563,NO SCOOT
1379,2721,Indian Creek Dr & 63 St,25.844479,-80.12151,NO SCOOT
1380,6631,SW 112 Av & SW 232 St,25.551668,-80.372055,SCOOT
1381,3779,NE 2 Av & NE 119 St,25.884476,-80.19427,NO SCOOT
1382,6404,NW 38 Ct & NW 21 St,25.794891,-80.25895,SCOOT
1383,2722,Indian Creed Dr & 67 St,25.850586,-80.12152,NO SCOOT
1384,6641,E 1 Av & E 17 St,25.837255,-80.27989,NO SCOOT
1385,3918,NW 2 Av & NW 119 St,25.884115,-80.20248,SCOOT
1386,2858,Palm Av & 5 St,25.826324,-80.28148,NO SCOOT
1387,6496,Douglas Rd / NW 9 St / NW 10 St,25.781473,-80.25578,SCOOT
1388,2859,E 1 Av & E 9 St,25.829954,-80.279625,NO SCOOT
1389,3494,Indian Creek Dr & 65 St,25.848412,-80.12141,NO SCOOT
1390,6778,SW 112 Av & SW 236 St,25.548033,-80.372086,SCOOT
1391,4007,NE 2 Av & NE 115 St,25.88084,-80.19406,NO SCOOT
1392,6928,Douglas Rd & NW 28 St,25.801085,-80.2578,NO SCOOT
1393,2860,E 4 Av & E 9 St,25.830166,-80.27358,NO SCOOT
1394,3028,Flagler Av & SW 324 St,25.466146,-80.479324,NO SCOOT
1395,6452,Indian Creek Dr / 63 St / 64 St,25.844606,-80.12161,NO SCOOT
1396,2861,E 6 Av & E 9 St,25.830322,-80.26956,NO SCOOT
1397,3031,Krome Av & Mowry Dr,25.469833,-80.47734,NO SCOOT
1398,4264,Miami Gardens Dr & Red Rd,25.939287,-80.29385,NO SCOOT
1399,5498,NE 2 Av & NE 111 St,25.877375,-80.193924,NO SCOOT
1400,6459,W Dixie Hwy & NE 123 St,25.888315,-80.18927,NO SCOOT
1401,6472,N Miami Av / N 112 St / N 114 St,25.879244,-80.19822,NO SCOOT
1402,2533,N Miami Blvd / NE 12 Av / NE 13 Av,25.890825,-80.1729,NO SCOOT
1403,2540,Griffing Blvd & N Miami Blvd & NE 3 Av,25.89,-80.192505,NO SCOOT
1404,2542,N Miami Blvd & NE 10 Av,25.890604,-80.17841,NO SCOOT
1405,2543,N Miami Blvd & NE 8 Av,25.890448,-80.18242,NO SCOOT
1406,2544,N Miami Blvd & NE 7 Av,25.890373,-80.18445,NO SCOOT
